payment_id,payment_number,invoice_id,payment_date,amount_paid,payment_method,reference_number,notes
PAY-00001028,PAY-00001028,INV-00001715,2025-05-12,656.5,Credit Card,REF-893292,
PAY-00001029,PAY-00001029,INV-00001716,2023-10-16,1270.5,Check,REF-650530,
PAY-00001030,PAY-00001030,INV-00001718,2024-07-01,147.68,Wire Transfer,REF-875784,
PAY-00001031,PAY-00001031,INV-00001719,2024-03-21,533.81,Credit Card,REF-227584,
PAY-00001032,PAY-00001032,INV-00001721,2025-03-04,63.88,Credit Card,REF-229681,
PAY-00001033,PAY-00001033,INV-00001723,2025-02-12,861.05,Cash,REF-506060,
PAY-00001034,PAY-00001034,INV-00001727,2025-02-25,1403.31,Cash,REF-108026,
PAY-00001035,PAY-00001035,INV-00001728,2025-04-10,606.0,Cash,REF-667585,
PAY-00001036,PAY-00001036,INV-00001729,2024-04-13,65.89,ACH,REF-876206,
PAY-00001037,PAY-00001037,INV-00001730,2024-06-14,12.39,ACH,REF-493953,
PAY-00001038,PAY-00001038,INV-00001731,2024-04-27,1521.05,Check,REF-552154,
PAY-00001039,PAY-00001039,INV-00001732,2024-12-21,109.61,ACH,REF-213073,
PAY-00001040,PAY-00001040,INV-00001734,2024-10-16,3605.75,Wire Transfer,REF-220933,
PAY-00001041,PAY-00001041,INV-00001736,2024-05-08,2000.48,ACH,REF-576333,
PAY-00001042,PAY-00001042,INV-00001737,2024-07-09,142.96,ACH,REF-868995,
PAY-00001043,PAY-00001043,INV-00001739,2023-09-18,1547.25,Check,REF-602703,
PAY-00001044,PAY-00001044,INV-00001741,2024-02-07,66.54,Check,REF-131556,
PAY-00001045,PAY-00001045,INV-00001743,2025-02-07,3.43,ACH,REF-974811,
PAY-00001046,PAY-00001046,INV-00001744,2025-03-29,3733.85,Cash,REF-827057,
PAY-00001047,PAY-00001047,INV-00001745,2024-04-14,22.42,Wire Transfer,REF-980728,
PAY-00001048,PAY-00001048,INV-00001748,2024-02-14,2920.97,Credit Card,REF-409538,
PAY-00001049,PAY-00001049,INV-00001751,2023-09-01,2292.0,ACH,REF-865367,
PAY-00001050,PAY-00001050,INV-00001753,2023-09-26,8.31,Credit Card,REF-511028,
PAY-00001051,PAY-00001051,INV-00001754,2024-08-12,274.63,Cash,REF-995647,
PAY-00001052,PAY-00001052,INV-00001758,2024-12-05,420.63,Credit Card,REF-691407,
PAY-00001053,PAY-00001053,INV-00001761,2024-02-14,414.75,Wire Transfer,REF-615376,
PAY-00001054,PAY-00001054,INV-00001762,2025-04-07,187.05,Check,REF-383619,
PAY-00001055,PAY-00001055,INV-00001763,2025-03-28,3225.5,ACH,REF-903648,
PAY-00001056,PAY-00001056,INV-00001766,2025-02-13,728.2,Check,REF-100794,
PAY-00001057,PAY-00001057,INV-00001767,2024-04-07,23.25,ACH,REF-184311,
PAY-00001058,PAY-00001058,INV-00001768,2024-09-09,15.3,Wire Transfer,REF-164867,
PAY-00001059,PAY-00001059,INV-00001769,2024-12-18,104.05,Credit Card,REF-295423,
PAY-00001060,PAY-00001060,INV-00001771,2024-01-23,49.52,Check,REF-843664,
PAY-00001061,PAY-00001061,INV-00001773,2023-10-17,180.28,Credit Card,REF-483154,
PAY-00001062,PAY-00001062,INV-00001776,2024-09-15,4.68,Wire Transfer,REF-433487,
PAY-00001063,PAY-00001063,INV-00001777,2024-05-10,89.85,ACH,REF-546040,
PAY-00001064,PAY-00001064,INV-00001778,2025-02-04,646.6,Check,REF-621168,
PAY-00001065,PAY-00001065,INV-00001781,2025-02-13,117.0,Wire Transfer,REF-393282,
PAY-00001066,PAY-00001066,INV-00001782,2024-10-17,3008.4,Wire Transfer,REF-757985,
PAY-00001067,PAY-00001067,INV-00001784,2024-06-06,2.53,Credit Card,REF-986382,
PAY-00001068,PAY-00001068,INV-00001786,2023-12-26,86.7,ACH,REF-253900,
PAY-00001069,PAY-00001069,INV-00001787,2023-09-13,86.8,ACH,REF-528506,
PAY-00001070,PAY-00001070,INV-00001788,2025-02-18,47.94,Cash,REF-950528,
PAY-00001071,PAY-00001071,INV-00001790,2024-06-27,169.7,Cash,REF-770690,
PAY-00001072,PAY-00001072,INV-00001791,2024-09-25,1344.35,Cash,REF-204442,
PAY-00001073,PAY-00001073,INV-00001794,2023-09-15,45.2,Credit Card,REF-494988,
PAY-00001074,PAY-00001074,INV-00001795,2023-09-19,306.5,Wire Transfer,REF-961693,
PAY-00001075,PAY-00001075,INV-00001798,2024-03-29,1339.05,Credit Card,REF-845250,
PAY-00001076,PAY-00001076,INV-00001800,2024-12-22,1648.35,Wire Transfer,REF-547435,
PAY-00001077,PAY-00001077,INV-00001803,2024-02-22,1241.0,Check,REF-859910,
PAY-00001078,PAY-00001078,INV-00001804,2024-10-17,775.5,Check,REF-504159,
PAY-00001079,PAY-00001079,INV-00001807,2024-04-05,104.6,ACH,REF-967243,
PAY-00001080,PAY-00001080,INV-00001809,2024-05-22,45.4,Wire Transfer,REF-756560,
PAY-00001081,PAY-00001081,INV-00001810,2025-06-08,438.0,Credit Card,REF-131283,
PAY-00001082,PAY-00001082,INV-00001815,2024-02-12,53.8,Check,REF-372591,
PAY-00001083,PAY-00001083,INV-00001816,2025-05-10,34.3,Check,REF-346112,
PAY-00001084,PAY-00001084,INV-00001817,2024-12-23,756.2,Wire Transfer,REF-987382,
PAY-00001085,PAY-00001085,INV-00001818,2025-03-14,16.99,Check,REF-714697,
PAY-00001086,PAY-00001086,INV-00001820,2025-05-14,158.43,ACH,REF-642776,
PAY-00001087,PAY-00001087,INV-00001821,2025-03-06,857.59,Cash,REF-445868,
PAY-00001088,PAY-00001088,INV-00001822,2025-02-17,89.65,Check,REF-768619,
PAY-00001089,PAY-00001089,INV-00001826,2025-06-16,406.39,ACH,REF-279328,
PAY-00001090,PAY-00001090,INV-00001827,2025-03-21,1598.5,Credit Card,REF-521008,
PAY-00001091,PAY-00001091,INV-00001828,2024-02-20,327.59,ACH,REF-334460,
PAY-00001092,PAY-00001092,INV-00001829,2024-07-26,183.65,Credit Card,REF-488131,
PAY-00001093,PAY-00001093,INV-00001830,2025-01-29,9015.5,Cash,REF-919153,
PAY-00001094,PAY-00001094,INV-00001832,2025-01-22,60.42,Check,REF-450855,
PAY-00001095,PAY-00001095,INV-00001833,2023-12-22,47.94,Check,REF-468145,
PAY-00001096,PAY-00001096,INV-00001834,2025-06-04,1210.32,Wire Transfer,REF-245633,
PAY-00001097,PAY-00001097,INV-00001835,2023-10-08,674.4,Credit Card,REF-457015,
PAY-00001098,PAY-00001098,INV-00001836,2024-01-25,6666.09,ACH,REF-122520,
PAY-00001099,PAY-00001099,INV-00001837,2023-10-03,205.3,Check,REF-450895,
PAY-00001100,PAY-00001100,INV-00001838,2024-05-21,12.84,Check,REF-112231,
PAY-00001101,PAY-00001101,INV-00001839,2024-06-08,1600.71,Check,REF-158397,
PAY-00001102,PAY-00001102,INV-00001840,2024-07-12,142.89,Check,REF-998657,
PAY-00001103,PAY-00001103,INV-00001842,2025-06-23,4140.5,Cash,REF-673369,
PAY-00001104,PAY-00001104,INV-00001843,2025-03-04,68.4,Check,REF-274812,
PAY-00001105,PAY-00001105,INV-00001844,2025-07-01,2456.25,Check,REF-546744,
PAY-00001106,PAY-00001106,INV-00001846,2025-01-14,7.1,Check,REF-730893,
PAY-00001107,PAY-00001107,INV-00001848,2023-10-14,388.1,Wire Transfer,REF-485588,
PAY-00001108,PAY-00001108,INV-00001849,2023-10-09,225.85,Credit Card,REF-276049,
PAY-00001109,PAY-00001109,INV-00001852,2024-05-24,214.2,Check,REF-310202,
PAY-00001110,PAY-00001110,INV-00001853,2024-05-01,224.39,ACH,REF-585674,
PAY-00001111,PAY-00001111,INV-00001855,2024-05-21,5.62,Cash,REF-367376,
PAY-00001112,PAY-00001112,INV-00001856,2024-05-04,26.0,ACH,REF-271760,
PAY-00001113,PAY-00001113,INV-00001858,2024-12-07,224.8,Wire Transfer,REF-967053,
PAY-00001114,PAY-00001114,INV-00001859,2024-03-31,1489.65,Cash,REF-885824,
PAY-00001115,PAY-00001115,INV-00001860,2024-04-22,103.05,Cash,REF-773638,
PAY-00001116,PAY-00001116,INV-00001861,2023-10-29,32.96,Check,REF-211055,
PAY-00001117,PAY-00001117,INV-00001862,2023-08-07,64.2,Cash,REF-535866,
PAY-00001118,PAY-00001118,INV-00001863,2025-03-31,41.62,ACH,REF-641804,
PAY-00001119,PAY-00001119,INV-00001864,2024-09-06,637.0,Check,REF-291449,
PAY-00001120,PAY-00001120,INV-00001866,2025-03-06,179.34,ACH,REF-249063,
PAY-00001121,PAY-00001121,INV-00001867,2024-03-07,604.88,ACH,REF-948336,
PAY-00001122,PAY-00001122,INV-00001868,2023-10-27,48.65,ACH,REF-295272,
PAY-00001123,PAY-00001123,INV-00001869,2024-05-11,261.5,Check,REF-433148,
PAY-00001124,PAY-00001124,INV-00001870,2023-12-04,1677.5,ACH,REF-771880,
PAY-00001125,PAY-00001125,INV-00001873,2024-05-17,100.7,Credit Card,REF-244979,
PAY-00001126,PAY-00001126,INV-00001876,2024-01-05,69.24,Credit Card,REF-375692,
PAY-00001127,PAY-00001127,INV-00001877,2024-07-24,140.44,Cash,REF-992601,
PAY-00001128,PAY-00001128,INV-00001879,2023-08-18,306.0,Cash,REF-878302,
PAY-00001129,PAY-00001129,INV-00001880,2024-07-12,8.05,Check,REF-280259,
PAY-00001130,PAY-00001130,INV-00001881,2023-10-15,262.91,Cash,REF-577193,
PAY-00001131,PAY-00001131,INV-00001882,2024-03-25,137.65,Credit Card,REF-301075,
PAY-00001132,PAY-00001132,INV-00001883,2024-02-20,740.0,Cash,REF-817772,
PAY-00001133,PAY-00001133,INV-00001884,2024-02-14,335.5,Check,REF-817422,
PAY-00001134,PAY-00001134,INV-00001887,2024-08-06,4.28,Cash,REF-674539,
PAY-00001135,PAY-00001135,INV-00001889,2024-04-05,107.2,ACH,REF-646021,
PAY-00001136,PAY-00001136,INV-00001890,2024-09-26,34.35,Wire Transfer,REF-155180,
PAY-00001137,PAY-00001137,INV-00001892,2024-10-10,28.64,Wire Transfer,REF-301710,
PAY-00001138,PAY-00001138,INV-00001897,2024-07-28,424.63,Credit Card,REF-406957,
PAY-00001139,PAY-00001139,INV-00001902,2024-02-14,41.08,ACH,REF-242038,
PAY-00001140,PAY-00001140,INV-00001904,2024-11-21,10042.0,ACH,REF-180124,
PAY-00001141,PAY-00001141,INV-00001905,2023-09-08,7.12,ACH,REF-472051,
PAY-00001142,PAY-00001142,INV-00001906,2023-09-03,91.35,ACH,REF-541484,
PAY-00001143,PAY-00001143,INV-00001909,2024-02-01,124.35,Credit Card,REF-885581,
PAY-00001144,PAY-00001144,INV-00001911,2024-11-28,96.81,Wire Transfer,REF-116792,
PAY-00001145,PAY-00001145,INV-00001913,2023-12-06,310.2,Credit Card,REF-556667,
PAY-00001146,PAY-00001146,INV-00001914,2023-12-25,207.3,Credit Card,REF-787138,
PAY-00001147,PAY-00001147,INV-00001915,2024-11-24,138.0,Credit Card,REF-924914,
PAY-00001148,PAY-00001148,INV-00001916,2024-02-04,226.5,Wire Transfer,REF-489802,
PAY-00001149,PAY-00001149,INV-00001917,2024-09-28,779.4,Check,REF-571926,
PAY-00001150,PAY-00001150,INV-00001919,2024-05-15,487.05,Cash,REF-276771,
PAY-00001151,PAY-00001151,INV-00001920,2024-12-22,509.1,Wire Transfer,REF-255375,
PAY-00001152,PAY-00001152,INV-00001921,2024-04-08,340.78,Wire Transfer,REF-771303,
PAY-00001153,PAY-00001153,INV-00001922,2024-06-27,1061.6,Cash,REF-998174,
PAY-00001154,PAY-00001154,INV-00001924,2025-06-08,758.0,ACH,REF-151463,
PAY-00001155,PAY-00001155,INV-00001925,2023-09-11,83.65,Cash,REF-893150,
PAY-00001156,PAY-00001156,INV-00001926,2024-08-02,763.41,Credit Card,REF-927546,
PAY-00001157,PAY-00001157,INV-00001927,2023-10-05,91.35,Cash,REF-492473,
PAY-00001158,PAY-00001158,INV-00001929,2023-11-06,242.1,Wire Transfer,REF-602021,
PAY-00001159,PAY-00001159,INV-00001931,2025-01-30,401.5,Cash,REF-665814,
PAY-00001160,PAY-00001160,INV-00001933,2023-10-02,80.02,ACH,REF-141063,
PAY-00001161,PAY-00001161,INV-00001934,2025-03-06,113.75,Cash,REF-148158,
PAY-00001162,PAY-00001162,INV-00001935,2023-10-06,39.75,Cash,REF-536622,
PAY-00001163,PAY-00001163,INV-00001937,2025-02-04,982.95,Check,REF-962924,
PAY-00001164,PAY-00001164,INV-00001938,2024-07-29,941.47,ACH,REF-950713,
PAY-00001165,PAY-00001165,INV-00001940,2023-12-24,617.38,Wire Transfer,REF-939969,
PAY-00001166,PAY-00001166,INV-00001941,2024-06-09,2590.6,ACH,REF-625477,
PAY-00001167,PAY-00001167,INV-00001942,2024-04-08,140.19,Credit Card,REF-622779,
PAY-00001168,PAY-00001168,INV-00001945,2023-11-07,66.46,Cash,REF-432068,
PAY-00001169,PAY-00001169,INV-00001946,2024-10-05,363.25,ACH,REF-533295,
PAY-00001170,PAY-00001170,INV-00001947,2025-08-12,1299.36,Wire Transfer,REF-801752,
PAY-00001171,PAY-00001171,INV-00001948,2024-06-12,100.51,Cash,REF-230384,
PAY-00001172,PAY-00001172,INV-00001949,2023-08-09,7176.35,Credit Card,REF-907408,
PAY-00001173,PAY-00001173,INV-00001950,2024-06-09,277.85,ACH,REF-800688,
PAY-00001174,PAY-00001174,INV-00001951,2023-10-30,424.86,ACH,REF-946992,
PAY-00001175,PAY-00001175,INV-00001952,2025-06-08,87.51,Check,REF-795605,
PAY-00001176,PAY-00001176,INV-00001955,2023-10-16,143.82,Check,REF-604296,
PAY-00001177,PAY-00001177,INV-00001956,2025-05-05,633.0,Credit Card,REF-107012,
PAY-00001178,PAY-00001178,INV-00001957,2023-12-05,2576.7,Wire Transfer,REF-435683,
PAY-00001179,PAY-00001179,INV-00001958,2024-12-11,83.69,Cash,REF-177355,
PAY-00001180,PAY-00001180,INV-00001959,2024-02-03,2400.52,ACH,REF-978724,
PAY-00001181,PAY-00001181,INV-00001962,2024-03-03,378.5,Check,REF-514138,
PAY-00001182,PAY-00001182,INV-00001967,2024-08-08,402.4,Check,REF-202050,
PAY-00001183,PAY-00001183,INV-00001968,2024-10-05,566.28,Check,REF-296346,
PAY-00001184,PAY-00001184,INV-00001969,2024-03-14,220.8,Cash,REF-598525,
PAY-00001185,PAY-00001185,INV-00001971,2025-06-18,19.73,Wire Transfer,REF-989237,
PAY-00001186,PAY-00001186,INV-00001973,2024-02-07,659.0,ACH,REF-252686,
PAY-00001187,PAY-00001187,INV-00001976,2024-06-21,122.6,Cash,REF-960558,
PAY-00001188,PAY-00001188,INV-00001978,2024-10-20,2566.25,Credit Card,REF-907242,
PAY-00001189,PAY-00001189,INV-00001980,2025-01-02,491.25,ACH,REF-468691,
PAY-00001190,PAY-00001190,INV-00001982,2025-06-10,1959.25,ACH,REF-123866,
PAY-00001191,PAY-00001191,INV-00001984,2024-08-21,159.59,Credit Card,REF-945916,
PAY-00001192,PAY-00001192,INV-00001987,2024-06-27,11.57,Check,REF-292078,
PAY-00001193,PAY-00001193,INV-00001989,2024-03-19,2315.5,Check,REF-226751,
PAY-00001194,PAY-00001194,INV-00001991,2023-11-05,493.26,ACH,REF-406761,
PAY-00001195,PAY-00001195,INV-00001992,2024-04-22,4707.3,Wire Transfer,REF-893926,
PAY-00001196,PAY-00001196,INV-00001996,2024-05-03,266.62,Check,REF-588760,
PAY-00001197,PAY-00001197,INV-00001997,2025-05-06,42.22,Credit Card,REF-967176,
PAY-00001198,PAY-00001198,INV-00001999,2024-05-09,23.4,Wire Transfer,REF-109214,
PAY-00001199,PAY-00001199,INV-00002001,2024-11-16,510.55,Credit Card,REF-866855,
PAY-00001200,PAY-00001200,INV-00002005,2023-09-26,232.6,Credit Card,REF-840138,
PAY-00001201,PAY-00001201,INV-00002007,2023-11-02,1948.5,Wire Transfer,REF-164316,
PAY-00001202,PAY-00001202,INV-00002008,2025-03-24,602.41,Cash,REF-956164,
PAY-00001203,PAY-00001203,INV-00002009,2025-05-15,168.15,Cash,REF-728067,
PAY-00001204,PAY-00001204,INV-00002011,2024-09-11,77.09,ACH,REF-616879,
PAY-00001205,PAY-00001205,INV-00002013,2025-02-16,131.83,Wire Transfer,REF-726268,
PAY-00001206,PAY-00001206,INV-00002021,2023-09-04,310.65,Cash,REF-955915,
PAY-00001207,PAY-00001207,INV-00002023,2023-10-22,435.74,Credit Card,REF-303135,
PAY-00001208,PAY-00001208,INV-00002024,2024-08-27,42.98,Cash,REF-609253,
PAY-00001209,PAY-00001209,INV-00002025,2024-02-06,1074.9,ACH,REF-700971,
PAY-00001210,PAY-00001210,INV-00002027,2024-04-24,1551.3,Cash,REF-876499,
PAY-00001211,PAY-00001211,INV-00002028,2025-02-25,22.75,Credit Card,REF-356126,
PAY-00001212,PAY-00001212,INV-00002029,2024-04-24,6.44,Check,REF-169083,
PAY-00001213,PAY-00001213,INV-00002032,2024-12-17,98.8,ACH,REF-274039,
PAY-00001214,PAY-00001214,INV-00002033,2025-06-16,1310.25,Credit Card,REF-206749,
PAY-00001215,PAY-00001215,INV-00002035,2025-07-24,132.93,Credit Card,REF-753744,
PAY-00001216,PAY-00001216,INV-00002037,2024-09-13,26.78,Check,REF-384444,
PAY-00001217,PAY-00001217,INV-00002038,2024-03-12,42.7,Check,REF-457380,
PAY-00001218,PAY-00001218,INV-00002039,2024-01-27,291.41,Credit Card,REF-615247,
PAY-00001219,PAY-00001219,INV-00002040,2024-07-25,201.8,Check,REF-509296,
PAY-00001220,PAY-00001220,INV-00002044,2024-09-11,2440.09,Credit Card,REF-639926,
PAY-00001221,PAY-00001221,INV-00002045,2024-08-29,7275.0,Credit Card,REF-772515,
PAY-00001222,PAY-00001222,INV-00002046,2024-05-29,40.9,Cash,REF-197122,
PAY-00001223,PAY-00001223,INV-00002047,2025-07-16,216.5,Wire Transfer,REF-684600,
PAY-00001224,PAY-00001224,INV-00002048,2025-04-03,139.85,Credit Card,REF-556840,
PAY-00001225,PAY-00001225,INV-00002049,2025-04-29,438.0,Check,REF-657537,
PAY-00001226,PAY-00001226,INV-00002051,2025-05-20,46.23,Cash,REF-991554,
PAY-00001227,PAY-00001227,INV-00002052,2024-12-16,438.25,Credit Card,REF-203810,
PAY-00001228,PAY-00001228,INV-00002053,2024-12-07,1859.71,ACH,REF-423808,
PAY-00001229,PAY-00001229,INV-00002056,2024-06-03,12.62,ACH,REF-183784,
PAY-00001230,PAY-00001230,INV-00002057,2025-06-05,410.6,Check,REF-189154,
PAY-00001231,PAY-00001231,INV-00002058,2024-07-31,974.25,ACH,REF-417312,
PAY-00001232,PAY-00001232,INV-00002059,2025-05-21,6.85,ACH,REF-840336,
PAY-00001233,PAY-00001233,INV-00002060,2024-04-08,891.3,Credit Card,REF-986478,
PAY-00001234,PAY-00001234,INV-00002061,2024-10-22,47.8,Wire Transfer,REF-644371,
PAY-00001235,PAY-00001235,INV-00002062,2024-01-05,14.64,Cash,REF-714916,
PAY-00001236,PAY-00001236,INV-00002063,2023-08-07,392.55,Credit Card,REF-871438,
PAY-00001237,PAY-00001237,INV-00002064,2023-12-03,2128.5,Wire Transfer,REF-316057,
PAY-00001238,PAY-00001238,INV-00002065,2024-07-05,4.97,Wire Transfer,REF-274480,
PAY-00001239,PAY-00001239,INV-00002067,2025-03-28,374.0,Check,REF-665972,
PAY-00001240,PAY-00001240,INV-00002069,2023-10-06,560.5,Check,REF-214626,
PAY-00001241,PAY-00001241,INV-00002072,2025-01-08,294.33,Cash,REF-798590,
PAY-00001242,PAY-00001242,INV-00002073,2024-11-05,929.2,Credit Card,REF-805420,
PAY-00001243,PAY-00001243,INV-00002075,2025-05-18,53.53,ACH,REF-692020,
PAY-00001244,PAY-00001244,INV-00002076,2023-10-23,88.58,ACH,REF-545238,
PAY-00001245,PAY-00001245,INV-00002078,2025-05-03,1796.4,Wire Transfer,REF-415971,
PAY-00001246,PAY-00001246,INV-00002079,2025-07-25,1689.7,ACH,REF-849445,
PAY-00001247,PAY-00001247,INV-00002080,2024-10-25,1258.75,ACH,REF-602528,
PAY-00001248,PAY-00001248,INV-00002081,2023-11-10,3793.81,Check,REF-178787,
PAY-00001249,PAY-00001249,INV-00002082,2024-03-09,21.22,Credit Card,REF-368303,
PAY-00001250,PAY-00001250,INV-00002083,2024-08-19,115.7,Wire Transfer,REF-340618,
PAY-00001251,PAY-00001251,INV-00002084,2024-07-01,33.72,Cash,REF-533859,
PAY-00001252,PAY-00001252,INV-00002087,2024-06-02,2388.4,Check,REF-792200,
PAY-00001253,PAY-00001253,INV-00002089,2023-11-16,942.4,Credit Card,REF-333278,
PAY-00001254,PAY-00001254,INV-00002091,2025-05-26,84.56,ACH,REF-954935,
PAY-00001255,PAY-00001255,INV-00002092,2025-03-25,242.0,Cash,REF-354664,
PAY-00001256,PAY-00001256,INV-00002093,2024-12-19,440.2,Check,REF-305817,
PAY-00001257,PAY-00001257,INV-00002094,2024-10-28,786.0,ACH,REF-904124,
PAY-00001258,PAY-00001258,INV-00002095,2024-12-15,1818.5,Cash,REF-399405,
PAY-00001259,PAY-00001259,INV-00002096,2025-06-28,31.91,ACH,REF-137205,
PAY-00001260,PAY-00001260,INV-00002099,2024-06-21,2547.68,Credit Card,REF-894562,
PAY-00001261,PAY-00001261,INV-00002100,2023-08-28,178.0,Wire Transfer,REF-241370,
PAY-00001262,PAY-00001262,INV-00002102,2025-02-04,50.0,Check,REF-719390,
PAY-00001263,PAY-00001263,INV-00002104,2024-12-02,1308.5,Credit Card,REF-594274,
PAY-00001264,PAY-00001264,INV-00002106,2024-08-19,1320.64,Wire Transfer,REF-638814,
PAY-00001265,PAY-00001265,INV-00002107,2024-08-05,40.36,Cash,REF-612330,
PAY-00001266,PAY-00001266,INV-00002108,2024-07-11,1230.0,Credit Card,REF-595165,
PAY-00001267,PAY-00001267,INV-00002109,2023-08-24,652.95,ACH,REF-557956,
PAY-00001268,PAY-00001268,INV-00002110,2025-04-26,466.5,Credit Card,REF-438235,
PAY-00001269,PAY-00001269,INV-00002111,2024-12-13,31.03,Wire Transfer,REF-276757,
PAY-00001270,PAY-00001270,INV-00002112,2025-06-03,942.4,Wire Transfer,REF-694217,
PAY-00001271,PAY-00001271,INV-00002114,2023-11-29,129.92,ACH,REF-407191,
PAY-00001272,PAY-00001272,INV-00002117,2024-07-27,58.15,Credit Card,REF-658922,
PAY-00001273,PAY-00001273,INV-00002118,2023-10-18,384.5,Credit Card,REF-450562,
PAY-00001274,PAY-00001274,INV-00002120,2024-05-03,333.9,Cash,REF-315065,
PAY-00001275,PAY-00001275,INV-00002121,2024-08-24,1121.0,Cash,REF-327027,
PAY-00001276,PAY-00001276,INV-00002122,2025-07-08,290.6,Credit Card,REF-358206,
PAY-00001277,PAY-00001277,INV-00002124,2024-10-04,136.4,Cash,REF-566650,
PAY-00001278,PAY-00001278,INV-00002128,2024-05-05,435.0,ACH,REF-810233,
PAY-00001279,PAY-00001279,INV-00002129,2024-09-16,164.03,Cash,REF-884348,
PAY-00001280,PAY-00001280,INV-00002131,2024-03-22,445.2,ACH,REF-525331,
PAY-00001281,PAY-00001281,INV-00002134,2024-08-02,19.54,ACH,REF-612961,
PAY-00001282,PAY-00001282,INV-00002137,2024-01-25,62.14,Cash,REF-252139,
PAY-00001283,PAY-00001283,INV-00002140,2024-06-20,1801.2,Wire Transfer,REF-605551,
PAY-00001284,PAY-00001284,INV-00002141,2025-01-28,830.45,Credit Card,REF-449061,
PAY-00001285,PAY-00001285,INV-00002144,2025-03-24,20.84,Credit Card,REF-916822,
PAY-00001286,PAY-00001286,INV-00002145,2024-11-28,93.41,Cash,REF-148629,
PAY-00001287,PAY-00001287,INV-00002146,2023-10-28,206.95,Wire Transfer,REF-990853,
PAY-00001288,PAY-00001288,INV-00002149,2025-01-25,1344.0,Check,REF-586944,
PAY-00001289,PAY-00001289,INV-00002150,2024-07-23,175.92,Wire Transfer,REF-828539,
PAY-00001290,PAY-00001290,INV-00002156,2024-11-15,97.05,Wire Transfer,REF-705916,
PAY-00001291,PAY-00001291,INV-00002158,2024-10-01,516.78,Wire Transfer,REF-434068,
PAY-00001292,PAY-00001292,INV-00002159,2023-09-24,882.77,Wire Transfer,REF-197652,
PAY-00001293,PAY-00001293,INV-00002161,2024-03-12,150.65,Check,REF-532424,
PAY-00001294,PAY-00001294,INV-00002162,2023-08-26,42.98,Check,REF-371923,
PAY-00001295,PAY-00001295,INV-00002163,2024-09-04,351.1,Check,REF-233889,
PAY-00001296,PAY-00001296,INV-00002164,2023-08-30,89.04,Cash,REF-564347,
PAY-00001297,PAY-00001297,INV-00002165,2023-11-17,4095.5,Check,REF-122035,
PAY-00001298,PAY-00001298,INV-00002166,2025-04-09,1681.78,ACH,REF-329777,
PAY-00001299,PAY-00001299,INV-00002167,2025-02-01,4976.39,Credit Card,REF-379563,
PAY-00001300,PAY-00001300,INV-00002168,2024-12-25,97.88,Check,REF-559066,
PAY-00001301,PAY-00001301,INV-00002169,2025-05-05,77.65,ACH,REF-183693,
PAY-00001302,PAY-00001302,INV-00002173,2024-02-20,63.63,ACH,REF-783162,
PAY-00001303,PAY-00001303,INV-00002174,2023-11-16,3135.47,Check,REF-121733,
PAY-00001304,PAY-00001304,INV-00002176,2024-01-15,410.75,Credit Card,REF-962877,
PAY-00001305,PAY-00001305,INV-00002177,2024-08-09,562.66,Credit Card,REF-974822,
PAY-00001306,PAY-00001306,INV-00002178,2024-03-15,794.09,ACH,REF-429124,
PAY-00001307,PAY-00001307,INV-00002179,2023-11-22,433.86,Credit Card,REF-708504,
PAY-00001308,PAY-00001308,INV-00002181,2024-03-09,65.0,ACH,REF-595065,
PAY-00001309,PAY-00001309,INV-00002182,2025-06-30,4.84,ACH,REF-399629,
PAY-00001310,PAY-00001310,INV-00002184,2024-01-28,673.75,ACH,REF-800066,
PAY-00001311,PAY-00001311,INV-00002186,2023-08-23,135.19,ACH,REF-899640,
PAY-00001312,PAY-00001312,INV-00002187,2024-10-29,54.97,Check,REF-449407,
PAY-00001313,PAY-00001313,INV-00002188,2025-06-29,216.7,Wire Transfer,REF-850850,
PAY-00001314,PAY-00001314,INV-00002189,2023-08-24,435.62,Credit Card,REF-533728,
PAY-00001315,PAY-00001315,INV-00002191,2025-07-01,8353.0,Cash,REF-825986,
PAY-00001316,PAY-00001316,INV-00002192,2024-08-07,366.0,ACH,REF-227465,
PAY-00001317,PAY-00001317,INV-00002193,2023-09-18,138.78,Credit Card,REF-487218,
PAY-00001318,PAY-00001318,INV-00002196,2024-12-28,217.53,ACH,REF-847285,
PAY-00001319,PAY-00001319,INV-00002199,2025-07-15,584.75,Wire Transfer,REF-433859,
PAY-00001320,PAY-00001320,INV-00002200,2025-06-05,1847.6,ACH,REF-810762,
PAY-00001321,PAY-00001321,INV-00002201,2025-06-13,189.91,Credit Card,REF-579109,
PAY-00001322,PAY-00001322,INV-00002203,2024-09-30,383.55,Cash,REF-258599,
PAY-00001323,PAY-00001323,INV-00002205,2024-02-08,456.5,Cash,REF-597550,
PAY-00001324,PAY-00001324,INV-00002206,2024-12-24,166.15,Check,REF-117814,
PAY-00001325,PAY-00001325,INV-00002208,2025-01-05,357.0,Wire Transfer,REF-745356,
PAY-00001326,PAY-00001326,INV-00002209,2024-10-16,900.6,Wire Transfer,REF-368592,
PAY-00001327,PAY-00001327,INV-00002210,2025-05-09,665.71,Check,REF-955173,
PAY-00001328,PAY-00001328,INV-00002211,2025-01-24,70.72,Check,REF-412530,
PAY-00001329,PAY-00001329,INV-00002212,2023-10-27,5147.28,Credit Card,REF-541982,
